kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,kills (stayed alive),num lives,avg time per life (s),hill time (s),2-piece
27,33,-6,0.82,24.2,29.6,19,35,17.1,85,3
40,37,3,1.08,35.9,33.2,19,38,15.6,3,7
18,28,-10,0.64,17.8,27.7,11,29,19.0,58,0
19,26,-7,0.73,18.8,25.7,16,27,20.5,90,3
34,27,7,1.26,33.6,26.7,25,29,19.0,101,7
17,26,-9,0.65,16.8,25.7,11,27,20.4,43,1
28,24,4,1.17,27.7,23.7,19,25,22.2,74,5
26,23,3,1.13,25.7,22.7,19,24,23.3,92,2
28,26,2,1.08,27.7,25.7,17,27,20.5,37,5
25,15,10,1.67,24.7,14.8,20,16,35.7,80,3
14,25,-11,0.56,15.6,27.8,9,27,18.0,46,2
16,25,-9,0.64,17.8,27.8,8,26,18.8,45,0
18,19,-1,0.95,20.0,21.2,14,21,23.7,61,1
29,25,4,1.16,32.3,27.8,18,27,18.0,44,5
23,19,4,1.21,25.6,21.2,18,20,25.0,64,2
19,20,-1,0.95,21.2,22.3,12,22,22.5,75,4
23,23,0,1.0,25.6,25.6,14,24,20.5,65,2
29,15,14,1.93,32.3,16.7,23,16,31.8,95,4
31,30,1,1.03,25.0,24.2,24,31,22.0,93,4
25,32,-7,0.78,20.2,25.8,20,34,19.9,104,3
34,37,-3,0.92,27.4,29.8,24,38,17.5,12,3
37,38,-1,0.97,29.8,30.6,26,39,17.1,56,8
37,36,1,1.03,29.8,29.0,21,38,17.5,59,4
38,32,6,1.19,30.6,25.8,27,33,20.6,54,9
26,26,0,1.0,21.0,21.0,20,27,25.6,116,2
36,33,3,1.09,29.0,26.6,23,35,19.3,42,6
23,33,-10,0.7,19.7,28.3,13,34,18.6,73,2
36,28,8,1.29,30.9,24.0,27,29,22.0,34,5
33,35,-2,0.94,28.3,30.0,26,36,17.5,70,5
30,30,0,1.0,25.7,25.7,24,31,20.6,89,5
31,34,-3,0.91,26.6,29.1,18,35,18.0,114,2
27,32,-5,0.84,23.1,27.4,18,33,19.2,70,1
34,20,14,1.7,29.1,17.1,29,21,31.4,54,4
34,36,-2,0.94,29.1,30.9,23,36,17.4,71,9
27,23,4,1.17,23.9,20.4,18,25,25.2,117,6
29,22,7,1.32,25.7,19.5,22,23,27.5,61,7
26,26,0,1.0,23.0,23.0,16,27,23.1,41,2
18,24,-6,0.75,15.9,21.2,13,26,24.1,61,2
21,25,-4,0.84,18.6,22.1,14,28,22.0,51,2
