kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,kills (stayed alive),num lives,avg time per life (s),hill time (s),2-piece
25,14,11,1.79,29.3,16.4,22,16,30.1,87,5
21,17,4,1.24,24.6,19.9,15,18,26.5,43,3
15,29,-14,0.52,17.6,34.0,9,30,15.0,11,2
13,23,-10,0.57,15.2,27.0,7,27,17.0,38,1
20,26,-6,0.77,23.4,30.5,10,27,17.0,28,2
13,27,-14,0.48,15.2,31.6,9,28,16.3,39,2
29,25,4,1.16,30.2,26.0,20,25,20.9,92,5
19,28,-9,0.68,19.8,29.2,12,29,17.9,49,1
12,24,-12,0.5,12.5,25.0,3,25,21.1,49,0
16,25,-9,0.64,16.7,26.0,10,27,19.3,41,2
22,19,3,1.16,22.9,19.8,12,21,25.5,62,1
28,21,7,1.33,29.2,21.9,22,22,24.2,101,6
22,16,6,1.38,22.9,16.7,15,18,29.6,76,3
30,20,10,1.5,31.2,20.8,21,21,25.5,46,5
37,31,6,1.19,28.7,24.1,28,32,22.2,95,5
30,34,-4,0.88,23.3,26.4,18,35,20.1,90,2
27,39,-12,0.69,21.0,30.3,16,40,17.3,49,5
31,30,1,1.03,24.1,23.3,21,33,21.5,52,2
34,27,7,1.26,26.4,21.0,24,28,25.7,183,4
36,38,-2,0.95,27.9,29.5,23,41,16.8,31,6
28,32,-4,0.88,21.7,24.8,21,33,21.4,10,4
36,28,8,1.29,27.9,21.7,23,29,24.6,27,5
17,26,-9,0.65,15.8,24.2,11,28,20.9,69,2
20,28,-8,0.71,18.6,26.1,11,29,20.2,36,1
18,27,-9,0.67,16.8,25.2,9,28,20.9,27,3
25,28,-3,0.89,23.3,26.1,15,28,21.0,65,3
22,23,-1,0.96,20.5,21.4,14,24,24.7,66,2
31,17,14,1.82,28.9,15.8,25,18,33.9,80,4
29,20,9,1.45,27.0,18.6,23,21,28.5,32,3
27,20,7,1.35,25.2,18.6,23,22,27.3,104,5
17,27,-10,0.63,17.4,27.6,11,28,19.0,78,2
26,29,-3,0.9,26.6,29.7,23,30,17.6,64,5
20,25,-5,0.8,20.5,25.6,11,26,20.5,23,2
27,28,-1,0.96,27.6,28.7,17,30,17.6,41,4
30,22,8,1.36,30.7,22.5,22,23,23.5,92,4
33,21,12,1.57,33.8,21.5,26,23,23.6,105,4
17,20,-3,0.85,17.4,20.5,10,21,26.0,29,2
29,27,2,1.07,29.7,27.6,21,28,19.0,99,4
23,23,0,1.0,22.0,22.0,12,24,24.1,70,2
23,22,1,1.05,22.0,21.0,13,23,25.4,72,2
27,28,-1,0.96,25.8,26.8,16,30,18.9,86,4
26,26,0,1.0,24.8,24.8,20,27,21.3,29,3
22,25,-3,0.88,21.0,23.9,15,26,22.2,58,2
33,16,17,2.06,31.5,15.3,27,17,35.0,136,8
27,26,1,1.04,25.8,24.8,18,28,20.4,51,5
17,32,-15,0.53,16.2,30.6,8,35,16.0,39,3
26,31,-5,0.84,24.5,29.2,17,33,17.4,91,6
22,28,-6,0.79,20.7,26.3,17,30,19.3,102,4
19,30,-11,0.63,17.9,28.2,12,31,18.6,23,2
31,27,4,1.15,29.2,25.4,21,28,20.8,49,3
25,29,-4,0.86,23.5,27.3,16,30,19.3,60,1
26,22,4,1.18,24.5,20.7,20,23,25.8,52,4
37,17,20,2.18,34.8,16.0,32,19,31.6,130,5
28,30,-2,0.93,26.3,28.2,22,31,18.6,48,3
14,19,-5,0.74,16.3,22.1,13,20,23.8,131,2
34,18,16,1.89,39.6,21.0,25,18,26.6,61,6
25,19,6,1.32,29.1,22.1,22,20,23.8,81,4
22,26,-4,0.85,25.6,30.3,15,27,17.1,5,2
20,20,0,1.0,23.3,23.3,15,22,21.5,6,2
20,30,-10,0.67,23.3,35.0,14,32,14.1,17,4
24,21,3,1.14,28.0,24.5,20,22,21.4,43,2
18,24,-6,0.75,21.0,28.0,11,25,18.6,22,2
22,26,-4,0.85,20.6,24.4,17,27,21.7,48,2
27,30,-3,0.9,25.3,28.1,16,30,19.3,28,4
41,20,21,2.05,38.4,18.8,35,21,28.5,107,7
31,24,7,1.29,29.1,22.5,23,25,23.6,90,5
22,30,-8,0.73,20.6,28.1,17,31,18.7,77,1
25,34,-9,0.74,23.4,31.9,18,35,16.3,38,6
29,27,2,1.07,27.2,25.3,21,27,21.5,22,3
24,30,-6,0.8,22.5,28.1,14,31,18.7,71,4
12,19,-7,0.63,19.5,30.9,7,19,17.1,0,1
7,19,-12,0.37,11.4,30.9,5,20,16.5,27,1
5,18,-13,0.28,8.1,29.3,4,18,18.5,7,1
6,18,-12,0.33,9.8,29.3,3,18,18.4,0,1
19,12,7,1.58,30.9,19.5,13,13,26.5,40,1
21,3,18,7.0,34.1,4.9,21,4,90.8,62,5
17,6,11,2.83,27.6,9.8,17,7,51.0,117,5
17,9,8,1.89,27.6,14.6,13,10,35.1,53,3
25,27,-2,0.93,23.9,25.8,17,27,21.3,15,2
21,25,-4,0.84,20.1,23.9,10,26,22.2,104,1
26,23,3,1.13,24.8,22.0,20,24,24.2,86,4
27,22,5,1.23,25.8,21.0,18,23,25.4,48,4
23,25,-2,0.92,22.0,23.9,17,26,22.2,55,2
21,32,-11,0.66,20.1,30.6,12,33,17.0,87,2
26,22,4,1.18,24.8,21.0,13,24,24.2,85,1
27,20,7,1.35,25.8,19.1,24,21,28.0,94,2
41,28,13,1.46,33.7,23.0,35,30,22.4,116,6
29,29,0,1.0,23.9,23.9,21,30,22.3,55,3
20,37,-17,0.54,16.5,30.5,14,38,17.2,79,1
41,36,5,1.14,33.7,29.6,27,38,17.2,11,4
28,32,-4,0.88,23.0,26.3,19,33,20.1,138,3
41,40,1,1.02,33.7,32.9,26,41,15.8,23,10
35,33,2,1.06,28.8,27.2,20,34,19.5,38,2
26,26,0,1.0,21.4,21.4,21,27,25.1,59,3
14,25,-11,0.56,16.2,28.8,7,26,17.9,21,2
21,26,-5,0.81,24.2,30.0,14,27,17.3,54,5
17,25,-8,0.68,19.6,28.8,11,25,18.8,44,3
21,30,-9,0.7,24.2,34.6,11,31,14.8,13,0
27,22,5,1.23,31.2,25.4,19,23,20.6,59,4
23,18,5,1.28,26.5,20.8,14,20,24.1,130,5
28,12,16,2.33,32.3,13.8,21,13,38.1,103,5
28,21,7,1.33,32.3,24.2,19,22,21.7,36,3
22,24,-2,0.92,20.4,22.2,14,25,23.9,34,1
17,29,-12,0.59,15.7,26.9,9,30,19.6,53,1
33,22,11,1.5,30.6,20.4,23,24,25.1,25,3
22,28,-6,0.79,20.4,25.9,16,28,21.1,103,4
23,23,0,1.0,21.3,21.3,16,25,23.9,52,4
23,18,5,1.28,21.3,16.7,20,19,32.1,102,3
26,24,2,1.08,24.1,22.2,20,26,23.0,85,3
31,29,2,1.07,28.7,26.9,21,30,19.6,57,7
45,16,29,2.81,42.5,15.1,37,16,37.9,73,8
35,31,4,1.13,33.0,29.2,24,33,17.3,31,4
25,30,-5,0.83,23.6,28.3,18,32,17.9,64,3
21,23,-2,0.91,19.8,21.7,15,25,23.5,155,3
30,29,1,1.03,28.3,27.4,20,31,18.2,32,2
26,33,-7,0.79,24.5,31.1,15,34,16.7,74,3
18,30,-12,0.6,17.0,28.3,13,30,19.2,78,0
26,34,-8,0.76,24.5,32.1,14,35,16.0,36,4
21,16,5,1.31,23.3,17.7,18,17,29.9,98,2
21,18,3,1.17,23.3,20.0,15,19,26.5,98,3
26,20,6,1.3,28.8,22.2,18,21,23.8,55,4
25,22,3,1.14,27.7,24.4,16,24,20.6,51,3
17,25,-8,0.68,18.9,27.7,12,26,18.9,72,4
17,21,-4,0.81,18.9,23.3,15,23,21.6,50,3
24,22,2,1.09,26.6,24.4,16,24,20.5,17,3
18,25,-7,0.72,20.0,27.7,10,25,19.5,50,1
32,36,-4,0.89,29.2,32.9,18,36,16.2,34,3
20,30,-10,0.67,18.3,27.4,13,32,18.4,67,2
18,30,-12,0.6,16.4,27.4,10,31,18.8,63,3
28,27,1,1.04,25.6,24.7,21,28,21.5,77,5
25,23,2,1.09,22.8,21.0,18,24,25.4,68,4
28,27,1,1.04,25.6,24.7,16,28,21.3,72,3
41,27,14,1.52,37.4,24.7,26,28,21.4,39,4
29,21,8,1.38,26.5,19.2,21,22,27.7,115,5
21,20,1,1.05,23.1,22.0,13,21,24.0,78,1
28,19,9,1.47,30.8,20.9,23,20,25.2,60,3
20,20,0,1.0,22.0,22.0,14,21,24.0,65,4
19,22,-3,0.86,20.9,24.2,14,23,21.7,52,4
20,20,0,1.0,22.0,22.0,13,22,22.9,50,1
19,25,-6,0.76,20.9,27.5,15,27,18.2,58,1
27,23,4,1.17,29.7,25.3,17,24,20.7,28,5
15,20,-5,0.75,16.5,22.0,11,21,24.0,46,2
22,29,-7,0.76,20.8,27.4,15,30,19.1,36,3
27,34,-7,0.79,25.5,32.1,16,36,15.6,40,5
25,27,-2,0.93,23.6,25.5,17,27,21.4,50,3
21,33,-12,0.64,19.8,31.2,13,34,16.7,22,3
29,22,7,1.32,27.4,20.8,22,24,24.5,91,2
24,26,-2,0.92,22.7,24.6,16,28,20.7,47,3
36,22,14,1.64,34.0,20.8,27,24,24.5,56,6
34,25,9,1.36,32.1,23.6,24,25,23.4,85,3
20,21,-1,0.95,22.6,23.8,14,22,22.2,46,3
26,19,7,1.37,29.4,21.5,17,21,23.3,86,4
20,20,0,1.0,22.6,22.6,14,22,22.1,68,2
34,22,12,1.55,38.5,24.9,24,23,21.1,65,7
12,23,-11,0.52,13.6,26.0,5,24,20.0,16,1
27,22,5,1.23,30.6,24.9,19,23,21.0,28,4
18,27,-9,0.67,20.4,30.6,14,29,16.3,72,1
25,28,-3,0.89,28.3,31.7,17,29,16.3,14,3
18,26,-8,0.69,19.4,28.0,11,28,17.9,48,2
15,26,-11,0.58,16.2,28.0,10,27,18.7,54,1
24,23,1,1.04,25.9,24.8,17,24,21.0,30,2
28,26,2,1.08,30.2,28.0,17,27,18.7,24,1
27,25,2,1.08,29.1,26.9,16,26,19.5,100,4
25,27,-2,0.93,26.9,29.1,16,28,17.9,60,4
25,14,11,1.79,26.9,15.1,21,15,35.2,10,4
24,19,5,1.26,25.9,20.5,18,21,24.6,143,5
29,27,2,1.07,26.0,24.2,20,29,21.1,98,3
33,17,16,1.94,29.6,15.2,29,18,35.2,77,6
24,30,-6,0.8,21.5,26.9,17,31,19.6,35,5
23,30,-7,0.77,20.6,26.9,16,31,19.6,96,4
21,21,0,1.0,18.8,18.8,16,24,25.9,113,2
29,29,0,1.0,26.0,26.0,17,30,20.2,41,3
28,34,-6,0.82,25.1,30.5,16,36,16.6,78,2
26,25,1,1.04,23.3,22.4,18,26,23.7,55,2
34,28,6,1.21,28.3,23.3,25,29,22.8,23,5
22,27,-5,0.81,18.3,22.5,16,29,22.8,62,5
33,19,14,1.74,27.5,15.8,29,20,34.0,64,5
31,30,1,1.03,25.8,25.0,20,31,21.2,131,2
37,27,10,1.37,30.8,22.5,25,28,23.7,31,5
25,33,-8,0.76,20.8,27.5,19,34,19.1,25,3
22,27,-5,0.81,18.3,22.5,15,28,23.7,71,2
20,33,-13,0.61,16.7,27.5,13,35,18.6,73,1
23,18,5,1.28,26.1,20.4,17,19,25.9,79,2
25,23,2,1.09,28.4,26.1,19,24,20.0,104,2
15,15,0,1.0,17.0,17.0,11,16,31.1,118,1
28,21,7,1.33,31.8,23.8,19,22,22.0,29,5
15,20,-5,0.75,17.0,22.7,7,22,22.1,62,0
25,28,-3,0.89,28.4,31.8,14,28,16.9,69,3
17,23,-6,0.74,19.3,26.1,9,24,20.1,54,2
20,20,0,1.0,22.7,22.7,10,22,22.1,54,3
23,29,-6,0.79,21.4,26.9,13,30,19.6,48,2
27,28,-1,0.96,25.1,26.0,17,29,20.3,49,2
19,20,-1,0.95,17.6,18.6,16,22,27.4,162,3
19,31,-12,0.61,17.6,28.8,11,33,17.6,23,1
20,22,-2,0.91,18.6,20.4,12,25,23.9,103,1
41,23,18,1.78,38.1,21.4,33,25,23.8,44,7
18,20,-2,0.9,16.7,18.6,11,21,28.7,43,2
29,23,6,1.26,26.9,21.4,21,25,23.8,92,5
24,33,-9,0.73,23.3,32.0,16,35,15.6,43,5
25,27,-2,0.93,24.3,26.2,15,28,20.1,29,1
23,28,-5,0.82,22.3,27.2,17,29,19.3,63,4
26,33,-7,0.79,25.2,32.0,13,36,14.6,24,4
25,27,-2,0.93,24.3,26.2,14,28,20.1,76,4
35,22,13,1.59,34.0,21.4,27,23,24.9,59,6
24,25,-1,0.96,23.3,24.3,12,25,22.7,66,3
37,24,13,1.54,35.9,23.3,25,26,21.8,116,3
32,19,13,1.68,30.7,18.2,25,20,29.2,76,2
25,26,-1,0.96,24.0,24.9,19,27,21.2,80,3
15,31,-16,0.48,14.4,29.7,10,33,16.8,74,1
29,25,4,1.16,27.8,24.0,18,26,22.1,85,3
26,27,-1,0.96,24.9,25.9,13,28,20.4,63,3
23,24,-1,0.96,22.0,23.0,13,25,23.1,99,3
25,27,-2,0.93,24.0,25.9,16,29,19.5,55,4
27,23,4,1.17,25.9,22.0,17,23,25.3,49,2
36,28,8,1.29,31.8,24.7,28,29,21.4,62,5
22,31,-9,0.71,19.4,27.4,12,33,18.6,128,2
27,22,5,1.23,23.9,19.4,20,23,27.5,44,3
39,21,18,1.86,34.5,18.6,29,22,28.9,65,4
27,26,1,1.04,23.9,23.0,18,27,23.1,60,5
24,38,-14,0.63,21.2,33.6,16,41,14.5,51,4
19,29,-10,0.66,16.8,25.6,12,30,20.6,73,2
32,31,1,1.03,28.3,27.4,23,31,19.8,67,3
31,17,14,1.82,35.7,19.6,24,19,25.5,80,2
17,21,-4,0.81,19.6,24.2,11,22,21.7,136,2
19,22,-3,0.86,21.9,25.3,12,23,20.5,37,2
25,23,2,1.09,28.8,26.5,18,25,18.9,73,3
17,24,-7,0.71,19.6,27.6,13,26,18.1,62,2
21,25,-4,0.84,24.2,28.8,11,26,18.0,48,2
21,20,1,1.05,24.2,23.0,13,21,22.9,10,4
24,23,1,1.04,27.6,26.5,16,24,19.7,48,6
26,13,13,2.0,32.7,16.4,19,14,32.1,112,6
18,14,4,1.29,22.6,17.6,12,16,27.9,67,2
25,12,13,2.08,31.4,15.1,24,13,34.8,60,2
23,19,4,1.21,28.9,23.9,16,20,21.9,44,3
13,25,-12,0.52,16.4,31.4,3,28,14.9,21,1
19,23,-4,0.83,23.9,28.9,11,24,17.9,11,2
9,20,-11,0.45,11.3,25.2,5,21,20.8,66,1
17,24,-7,0.71,21.4,30.2,7,25,17.1,43,2
26,28,-2,0.93,23.7,25.5,17,29,20.7,60,2
23,28,-5,0.82,20.9,25.5,15,29,20.7,71,2
36,25,11,1.44,32.8,22.8,27,28,21.5,33,5
34,31,3,1.1,31.0,28.2,23,32,18.6,26,8
27,29,-2,0.93,24.6,26.4,19,30,20.0,28,1
32,20,12,1.6,29.1,18.2,26,22,28.0,107,7
24,35,-11,0.69,21.9,31.9,16,37,15.8,103,1
29,35,-6,0.83,26.4,31.9,18,36,16.3,45,4
21,29,-8,0.72,20.0,27.7,12,31,18.3,74,1
36,23,13,1.57,34.3,21.9,25,25,22.9,71,4
22,24,-2,0.92,21.0,22.9,19,25,23.2,85,4
33,30,3,1.1,31.5,28.6,26,31,18.3,47,5
20,30,-10,0.67,19.1,28.6,13,31,18.3,36,2
21,29,-8,0.72,20.0,27.7,11,30,19.0,42,2
30,26,4,1.15,28.6,24.8,22,27,21.3,33,2
35,27,8,1.3,33.4,25.8,26,28,20.4,32,6
16,31,-15,0.52,14.0,27.2,11,32,19.3,67,2
26,23,3,1.13,22.8,20.2,20,24,26.3,103,3
31,23,8,1.35,27.2,20.2,21,25,25.4,36,4
26,20,6,1.3,22.8,17.5,19,20,32.2,60,3
24,29,-5,0.83,21.1,25.4,14,30,20.8,62,1
28,22,6,1.27,24.6,19.3,23,23,27.8,74,3
22,22,0,1.0,19.3,19.3,17,23,27.8,55,2
23,26,-3,0.88,20.2,22.8,17,27,23.3,89,2
26,18,8,1.44,29.6,20.5,21,19,25.8,78,1
24,17,7,1.41,27.3,19.4,18,19,25.9,108,2
19,19,0,1.0,21.6,21.6,14,20,24.4,65,2
28,22,6,1.27,31.9,25.0,19,24,20.1,58,4
14,24,-10,0.58,15.9,27.3,8,25,19.1,86,1
31,21,10,1.48,35.3,23.9,23,22,21.9,45,4
16,26,-10,0.62,18.2,29.6,11,30,15.6,12,3
15,26,-11,0.58,17.1,29.6,7,28,16.9,29,0
16,22,-6,0.73,15.0,20.7,13,24,24.6,58,0
30,26,4,1.15,28.2,24.4,19,27,21.7,83,3
27,27,0,1.0,25.4,25.4,15,28,20.8,86,4
19,25,-6,0.76,17.8,23.5,12,27,21.7,40,5
18,25,-7,0.72,16.9,23.5,9,28,20.8,56,2
27,23,4,1.17,25.4,21.6,19,25,23.6,118,2
25,28,-3,0.89,23.5,26.3,17,29,20.0,69,4
30,16,14,1.88,28.2,15.0,25,17,35.7,88,7
35,39,-4,0.9,27.5,30.6,22,40,17.1,48,3
33,39,-6,0.85,25.9,30.6,15,40,17.1,41,2
48,32,16,1.5,37.6,25.1,31,32,21.9,94,6
41,35,6,1.17,32.2,27.5,24,37,18.7,51,4
32,34,-2,0.94,25.1,26.7,22,36,19.2,87,6
42,47,-5,0.89,32.9,36.9,29,47,14.2,31,4
36,37,-1,0.97,28.2,29.0,23,38,18.1,57,5
35,39,-4,0.9,27.5,30.6,23,41,16.7,51,4
34,34,0,1.0,26.3,26.3,22,35,20.2,55,3
31,34,-3,0.91,23.9,26.3,24,34,20.9,54,4
45,32,13,1.41,34.7,24.7,36,33,21.5,81,5
30,37,-7,0.81,23.2,28.6,19,39,17.9,66,3
35,36,-1,0.97,27.0,27.8,23,37,19.0,97,4
36,38,-2,0.95,27.8,29.3,27,39,17.9,78,4
30,29,1,1.03,23.2,22.4,23,31,23.1,23,5
36,37,-1,0.97,27.8,28.6,23,39,17.8,63,5
21,23,-2,0.91,20.5,22.5,15,23,24.6,29,2
29,28,1,1.04,28.3,27.4,16,29,19.2,60,4
16,31,-15,0.52,15.6,30.3,9,31,17.7,58,1
22,32,-10,0.69,21.5,31.3,16,33,16.6,32,3
22,21,1,1.05,21.5,20.5,15,22,26.0,103,3
27,29,-2,0.93,26.4,28.3,18,31,17.8,46,3
38,16,22,2.38,37.1,15.6,31,17,34.1,67,10
27,22,5,1.23,26.4,21.5,24,23,24.6,46,2
17,24,-7,0.71,19.5,27.5,9,24,19.8,10,2
17,19,-2,0.89,19.5,21.8,11,21,23.0,69,2
24,24,0,1.0,27.5,27.5,14,24,19.9,24,3
16,23,-7,0.7,18.3,26.3,11,24,19.8,22,3
26,17,9,1.53,29.8,19.5,19,18,27.0,8,4
21,24,-3,0.88,24.0,27.5,15,24,19.7,64,6
